# Thermal oxide on silicon - n, k=0
# Malitson 1965 fused-silica Sellmeier + a constant 0.0027: thermal oxide
# is denser than fused silica. The offset is empirical, not from a source.
wl_nm,n,k
1850,1.442873,0.000000
1855,1.442805,0.000000
1860,1.442737,0.000000
1865,1.442669,0.000000
1870,1.442600,0.000000
1875,1.442532,0.000000
1880,1.442463,0.000000
1885,1.442394,0.000000
1890,1.442325,0.000000
1895,1.442256,0.000000
1900,1.442186,0.000000
1905,1.442116,0.000000
1910,1.442047,0.000000
1915,1.441977,0.000000
1920,1.441907,0.000000
1925,1.441836,0.000000
1930,1.441766,0.000000
1935,1.441695,0.000000
1940,1.441624,0.000000
1945,1.441553,0.000000
1950,1.441482,0.000000
1955,1.441411,0.000000
1960,1.441339,0.000000
1965,1.441268,0.000000
1970,1.441196,0.000000
1975,1.441124,0.000000
1980,1.441052,0.000000
1985,1.440979,0.000000
1990,1.440907,0.000000
1995,1.440834,0.000000
2000,1.440761,0.000000
2005,1.440688,0.000000
2010,1.440615,0.000000
2015,1.440542,0.000000
2020,1.440468,0.000000
2025,1.440394,0.000000
2030,1.440320,0.000000
2035,1.440246,0.000000
2040,1.440172,0.000000
2045,1.440097,0.000000
2050,1.440023,0.000000
2055,1.439948,0.000000
2060,1.439873,0.000000
2065,1.439797,0.000000
2070,1.439722,0.000000
2075,1.439646,0.000000
2080,1.439571,0.000000
2085,1.439495,0.000000
2090,1.439418,0.000000
2095,1.439342,0.000000
2100,1.439266,0.000000
2105,1.439189,0.000000
2110,1.439112,0.000000
2115,1.439035,0.000000
2120,1.438958,0.000000
2125,1.438880,0.000000
2130,1.438802,0.000000
2135,1.438725,0.000000
2140,1.438647,0.000000
2145,1.438568,0.000000
2150,1.438490,0.000000
2155,1.438411,0.000000
2160,1.438332,0.000000
2165,1.438253,0.000000
2170,1.438174,0.000000
2175,1.438095,0.000000
2180,1.438015,0.000000
2185,1.437935,0.000000
2190,1.437855,0.000000
2195,1.437775,0.000000
2200,1.437695,0.000000
2205,1.437614,0.000000
2210,1.437534,0.000000
2215,1.437453,0.000000
2220,1.437371,0.000000
2225,1.437290,0.000000
2230,1.437208,0.000000
2235,1.437127,0.000000
2240,1.437045,0.000000
2245,1.436963,0.000000
2250,1.436880,0.000000
2255,1.436798,0.000000
2260,1.436715,0.000000
2265,1.436632,0.000000
2270,1.436549,0.000000
2275,1.436465,0.000000
2280,1.436382,0.000000
2285,1.436298,0.000000
2290,1.436214,0.000000
2295,1.436130,0.000000
2300,1.436045,0.000000
2305,1.435961,0.000000
2310,1.435876,0.000000
2315,1.435791,0.000000
2320,1.435705,0.000000
2325,1.435620,0.000000
2330,1.435534,0.000000
2335,1.435448,0.000000
2340,1.435362,0.000000
2345,1.435276,0.000000
2350,1.435189,0.000000
2355,1.435103,0.000000
2360,1.435016,0.000000
2365,1.434929,0.000000
2370,1.434841,0.000000
2375,1.434754,0.000000
2380,1.434666,0.000000
2385,1.434578,0.000000
2390,1.434490,0.000000
2395,1.434401,0.000000
2400,1.434312,0.000000
2405,1.434224,0.000000
2410,1.434134,0.000000
2415,1.434045,0.000000
2420,1.433956,0.000000
2425,1.433866,0.000000
2430,1.433776,0.000000
2435,1.433686,0.000000
2440,1.433595,0.000000
2445,1.433505,0.000000
2450,1.433414,0.000000
2455,1.433323,0.000000
2460,1.433231,0.000000
2465,1.433140,0.000000
2470,1.433048,0.000000
2475,1.432956,0.000000
2480,1.432864,0.000000
2485,1.432771,0.000000
2490,1.432679,0.000000
2495,1.432586,0.000000
2500,1.432493,0.000000
