# Titanium dioxide (rutile) - ORDINARY ray - n, k
# n over 430-1530 nm from the Sellmeier equation of
#   J. R. Devore, J. Opt. Soc. Am. 41, 416 (1951).
# Below ~370 nm the band edge (n rising, k>0) is an empirical ramp with no
# published source: use the UV of this material with care.
# Rutile is birefringent: the extraordinary ray is NOT in this file.
wl_nm,n,k
2240,2.441811,0.000000
2245,2.441765,0.000000
2250,2.441720,0.000000
2255,2.441674,0.000000
2260,2.441630,0.000000
2265,2.441585,0.000000
2270,2.441541,0.000000
2275,2.441497,0.000000
2280,2.441453,0.000000
2285,2.441410,0.000000
2290,2.441367,0.000000
2295,2.441324,0.000000
2300,2.441281,0.000000
2305,2.441239,0.000000
2310,2.441197,0.000000
2315,2.441156,0.000000
2320,2.441114,0.000000
2325,2.441073,0.000000
2330,2.441032,0.000000
2335,2.440992,0.000000
2340,2.440951,0.000000
2345,2.440911,0.000000
2350,2.440871,0.000000
2355,2.440832,0.000000
2360,2.440793,0.000000
2365,2.440754,0.000000
2370,2.440715,0.000000
2375,2.440676,0.000000
2380,2.440638,0.000000
2385,2.440600,0.000000
2390,2.440562,0.000000
2395,2.440524,0.000000
2400,2.440487,0.000000
2405,2.440450,0.000000
2410,2.440413,0.000000
2415,2.440377,0.000000
2420,2.440340,0.000000
2425,2.440304,0.000000
2430,2.440268,0.000000
2435,2.440232,0.000000
2440,2.440197,0.000000
2445,2.440162,0.000000
2450,2.440127,0.000000
2455,2.440092,0.000000
2460,2.440057,0.000000
2465,2.440023,0.000000
2470,2.439989,0.000000
2475,2.439955,0.000000
2480,2.439921,0.000000
2485,2.439887,0.000000
2490,2.439854,0.000000
2495,2.439821,0.000000
